PHASE 3 — ADVANCED TRAINING RESULTS
================================================================================

Configuration:
  backbone                      : dinov2_vitb14_reg (ViT-Base)
  seg_head                      : UPerNet (PPM + multi-scale FPN)
  loss                          : Focal (gamma=2) + Dice
  optimizer                     : AdamW (wd=1e-4)
  lr                            : 0.0003 + warmup(3ep) + CosineAnnealing
  batch_size                    : 2 (effective 4 with grad accum)
  epochs                        : 40
  image_size                    : 644x364
  mixed_precision               : True
  augmentations                 : HFlip, VFlip, ShiftScaleRotate, Blur, ColorJitter, RandomShadow, CLAHE
  early_stopping                : 12
  total_time_min                : 397.8
  best_val_iou                  : 0.5161
  best_epoch                    : 40
================================================================================

Best Val IoU:      0.5161 (Epoch 40)
Final Val IoU:     0.5161
Final Val Dice:    0.7116
Final Val Acc:     0.8307

Per-Class IoU (Best Model):
----------------------------------------
  Background          : 0.5185
  Trees               : 0.6278
  Lush Bushes         : 0.5171
  Dry Grass           : 0.5891
  Dry Bushes          : 0.4341
  Ground Clutter      : 0.2554
  Logs                : 0.2495
  Rocks               : 0.3167
  Landscape           : 0.5456
  Sky                 : 0.9685
================================================================================

Per-Epoch History:
------------------------------------------------------------------------------------------------------------------------
Ep   TrLoss    VaLoss    TrIoU     VaIoU     TrDice    VaDice    TrAcc     VaAcc     LR          
------------------------------------------------------------------------------------------------------------------------
1    0.2869    0.3035    0.4595    0.4219    0.6048    0.6219    0.7995    0.8004    0.000200    
2    0.2543    0.2469    0.4787    0.4465    0.6277    0.6502    0.8113    0.8121    0.000300    
3    0.2205    0.2107    0.4754    0.4460    0.6266    0.6464    0.8065    0.8089    0.000300    
4    0.2081    0.1957    0.4862    0.4575    0.6383    0.6613    0.8106    0.8124    0.000299    
5    0.2033    0.1854    0.4968    0.4691    0.6473    0.6718    0.8133    0.8143    0.000298    
6    0.2010    0.1872    0.4995    0.4683    0.6499    0.6715    0.8131    0.8129    0.000295    
7    0.1984    0.1839    0.5004    0.4711    0.6519    0.6731    0.8140    0.8136    0.000291    
8    0.1966    0.1824    0.5127    0.4805    0.6630    0.6805    0.8222    0.8209    0.000287    
9    0.1918    0.1766    0.5113    0.4821    0.6624    0.6826    0.8183    0.8187    0.000281    
10   0.1921    0.1777    0.5106    0.4815    0.6618    0.6821    0.8190    0.8192    0.000274    
11   0.1899    0.1760    0.5161    0.4889    0.6651    0.6872    0.8246    0.8242    0.000267    
12   0.1873    0.1746    0.5191    0.4916    0.6693    0.6901    0.8246    0.8239    0.000258    
13   0.1874    0.1751    0.5193    0.4920    0.6683    0.6892    0.8253    0.8244    0.000249    
14   0.1864    0.1726    0.5197    0.4923    0.6704    0.6918    0.8254    0.8258    0.000239    
15   0.1865    0.1723    0.5213    0.4931    0.6716    0.6915    0.8254    0.8239    0.000229    
16   0.1819    0.1689    0.5269    0.5000    0.6755    0.6973    0.8278    0.8272    0.000218    
17   0.1830    0.1693    0.5292    0.4994    0.6778    0.6963    0.8283    0.8270    0.000206    
18   0.1817    0.1679    0.5278    0.5000    0.6772    0.6976    0.8265    0.8260    0.000194    
19   0.1809    0.1687    0.5303    0.4991    0.6802    0.6981    0.8249    0.8242    0.000182    
20   0.1799    0.1673    0.5285    0.5015    0.6774    0.6990    0.8255    0.8250    0.000169    
21   0.1784    0.1665    0.5333    0.5035    0.6822    0.7008    0.8282    0.8266    0.000156    
22   0.1782    0.1671    0.5310    0.5012    0.6821    0.6993    0.8237    0.8228    0.000144    
23   0.1778    0.1664    0.5304    0.5029    0.6782    0.7005    0.8246    0.8245    0.000131    
24   0.1771    0.1646    0.5352    0.5061    0.6848    0.7029    0.8278    0.8272    0.000118    
25   0.1752    0.1640    0.5373    0.5083    0.6865    0.7049    0.8283    0.8276    0.000106    
26   0.1753    0.1634    0.5375    0.5097    0.6857    0.7055    0.8307    0.8301    0.000094    
27   0.1738    0.1629    0.5385    0.5100    0.6876    0.7063    0.8294    0.8282    0.000082    
28   0.1746    0.1627    0.5409    0.5121    0.6900    0.7078    0.8321    0.8306    0.000071    
29   0.1743    0.1622    0.5408    0.5124    0.6892    0.7079    0.8318    0.8309    0.000061    
30   0.1733    0.1614    0.5419    0.5132    0.6912    0.7091    0.8304    0.8291    0.000051    
31   0.1731    0.1612    0.5426    0.5138    0.6917    0.7093    0.8323    0.8310    0.000042    
32   0.1725    0.1610    0.5424    0.5138    0.6917    0.7094    0.8308    0.8301    0.000033    
33   0.1714    0.1609    0.5434    0.5137    0.6930    0.7093    0.8319    0.8299    0.000026    
34   0.1718    0.1606    0.5441    0.5146    0.6922    0.7101    0.8317    0.8300    0.000019    
35   0.1717    0.1605    0.5448    0.5153    0.6939    0.7107    0.8323    0.8310    0.000013    
36   0.1710    0.1602    0.5452    0.5154    0.6944    0.7109    0.8324    0.8305    0.000009    
37   0.1696    0.1600    0.5439    0.5157    0.6941    0.7113    0.8313    0.8301    0.000005    
38   0.1720    0.1599    0.5452    0.5160    0.6928    0.7114    0.8325    0.8309    0.000002    
39   0.1718    0.1599    0.5455    0.5159    0.6941    0.7114    0.8328    0.8306    0.000001    
40   0.1708    0.1599    0.5452    0.5161    0.6944    0.7116    0.8326    0.8307    0.000000    
